Name,Rating,Pricing,Number of Reviews,Location
Culaccino,4.2,,272,Franklin
McCreary's Irish Pub and Eatery,3.9,,200,Franklin
Serrato's Steakhouse,4.6,,190,Franklin
Pueblo Real Mexican Restaurant - Franklin,4.3,,367,Franklin
Franklin Chop House,3.9,,182,Franklin
Mojo's Tacos,4.1,,383,Franklin
Mellow Mushroom Franklin,3.5,,359,Franklin
Quinn's Neighbourhood Pub and Eatery,4.0,,271,Franklin
Ground Restaurant,4.3,,157,Franklin
Frothy Monkey,4.0,,552,Franklin
Chrysalis,4.5,,369,Franklin
BrickTop's,4.0,,328,Franklin
Pasta and Cream,4.6,,378,Franklin
Hop House Tennessee Taps,4.5,,63,Franklin
The White Alligator,4.5,,41,Franklin
Brixx Wood Fired Pizza + Craft Bar,4.0,,271,Franklin
1799 Kitchen & Cocktails,3.7,,80,Franklin
Sal's Family Pizza,3.8,,212,Franklin
Tupelo Honey Southern Kitchen & Bar,4.0,,1247,Franklin
Ruby Sunshine,4.0,,534,Franklin
North Italia- Franklin,4.1,,242,Franklin
Koi Sushi & Thai,4.0,,219,Franklin
Biscuit Love - Franklin,4.0,,574,Franklin
Hogwood BBQ,4.3,,454,Franklin
Merridee's Breadbasket,4.1,,433,Franklin
Sperry's Restaurant,4.1,,406,Franklin
Zolo's Italian Restaurant,3.3,,155,Franklin
Ground Restaurant - Cool Springs,4.4,,487,Franklin
J. Alexander's,4.0,,400,Franklin
Stoney River,4.0,,345,Franklin
Perry's Steakhouse & Grille - Cool Springs,3.8,,259,Franklin
Garcia's,3.9,,198,Franklin
Wild Ginger Restaurant,4.1,,543,Franklin
Hattie B's Hot Chicken - Franklin,4.4,,31,Franklin
Mi Kitchen,4.8,,138,Franklin
Big Shake's Hot Chicken & Fish,4.0,,502,Franklin
Connors Steak & Seafood,3.9,,377,Franklin
Gina's Stonefired Italian & Pizzeria,3.8,,168,Franklin
Party Fowl - Cool Springs,4.1,,385,Franklin
Pita Way - Cool Springs,4.8,,120,Franklin
Sopapilla's,3.9,,800,Franklin
Franklin Mercantile Deli,3.7,,147,Franklin
Sakura Japanese Restaurant,3.9,,87,Franklin
