Name,Rating,Pricing,Number of Reviews,Location,Category
The Coffee House at Second and Bridge,4.2,2.0,207,Franklin,Coffee & Tea
Zolo's Italian Restaurant,3.3,2.0,155,Franklin,Italian
Hogwood BBQ,4.3,2.0,455,Franklin,Barbeque
Koi Sushi & Thai,4.0,2.0,219,Franklin,Asian Fusion
Mi Kitchen,4.8,,137,Franklin,Tapas Bars
Big Shake's Hot Chicken & Fish,4.0,2.0,502,Franklin,Chicken Shop
Sakura Japanese Restaurant,3.9,2.0,87,Franklin,Japanese
Pita Way - Cool Springs,4.8,2.0,119,Franklin,Mediterranean
Ground Restaurant - Cool Springs,4.4,2.0,487,Franklin,American
Stoney River,4.0,3.0,346,Franklin,Steakhouses
Sal's Family Pizza,3.8,2.0,212,Franklin,Pizza
Hattie B's Hot Chicken - Franklin,4.4,2.0,30,Franklin,Chicken Shop
Bestia Mare,3.9,,33,Franklin,Italian
Wild Ginger Restaurant,4.1,2.0,544,Franklin,Asian Fusion
Coal Town Public House,4.0,2.0,65,Franklin,New American
Ice Point Cafe,4.6,2.0,137,Franklin,Bubble Tea
House of India,4.6,2.0,637,Franklin,Indian
Franklin Bakehouse,4.2,2.0,81,Franklin,Bakeries
